Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,266.36509543870585,27.695144,163.3956,613.42722,-646.647628,-260.48129,-0.278911,610.53728,26.932134399855965,-1.0154883298085052e-15,6.185749126416033,0.5370292478352412,0.0006869112568109772,0.0033529596606653696,4353.900206661016
2.0,133.18254771935293,19.393236,81.6978,613.42722,-662.788022,-219.037783,-0.504259,372.624872,38.08778958705766,-3.178841619063936e-10,6.035112082939846,0.5346265316784282,0.00048271923418217164,0.004132060892435526,6311.032680689535
3.0,88.78836514623528,15.71303,54.4652,613.42722,-676.401799,-197.92298,-0.793634,260.415038,46.64777286026025,-7.647066200115981e-08,5.913644827547244,0.5336200495816179,0.00039193903934894793,0.005225643948728476,7888.15937050585
4.0,66.59127385967646,13.517729,40.8489,613.42722,-688.868899,-184.188087,-1.192608,190.742109,53.86253991491069,-1.8968307704236052e-06,5.806620106970455,0.5330806522162113,0.00033762828011913625,0.006631298961883445,9276.05714213202
5.0,53.27301908774116,12.018525,32.67912,613.42722,-700.738578,-174.194337,-1.767399,142.142243,60.203390599975755,-1.6411390276553892e-05,5.7082628609038855,0.5327836560678256,0.0003004874838711065,0.008459503625919849,10546.709579951394
6.0,44.39418257311764,10.911033,27.2326,613.42722,-712.31429,-166.432724,-2.631026,106.125687,65.86222329997557,-7.894773779558641e-05,5.6154987428372385,0.5326572002991914,0.0002732251341614493,0.010902305659453614,11728.650706935887
7.0,38.0521571898945,10.049613,23.342229,613.42722,-723.80356,-160.140811,-3.994543,78.530494,70.83788249652528,-0.0002635007123068785,5.526361323782382,0.5326886248827267,0.00025263257233167275,0.014279294004979749,12818.17788346167
8.0,33.29563692983823,9.354666,20.42445,613.42722,-735.37142,-154.883102,-6.292041,57.026766,74.941425325846,-0.0006881479424497948,5.4394281463916565,0.5329080540076636,0.00023732806052600942,0.0191454628396588,13777.445589672832
9.0,29.596122258806837,8.778529,18.155067,613.42722,-747.160114,-150.388943,-10.539682,40.185994,77.81305196035359,-0.0015104624503934744,5.35360483656653,0.5333957108541565,0.0002268957186357482,0.026531857547156815,14534.70219334643
10.0,26.63650954387058,8.290689,16.33956,613.42722,-759.292015,-146.479394,-19.63044,27.072171,79.00230669175258,-0.002916373166919084,5.268065409590801,0.5343277683532599,0.00022148858784709402,0.03853470065628579,14996.455159407202
