Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,724.0662657057261,16.949708,163.3956,225.663876,-232.759987,-165.081004,-0.143464,461.849234,44.403916066373796,-1.286858212336339e-28,17.18508430746733,0.5430001245651184,0.0011383726379157158,0.00955767680582341,2583.863731589564
2.0,362.03313285286305,11.916918,81.6978,225.663876,-235.978977,-138.816024,-0.358882,216.867353,62.7966203235424,-2.5966397193692085e-19,16.95066251600879,0.5395588363679593,0.0008030338277556819,0.016904977777715283,3704.6705557517353
3.0,241.3554219019087,9.686846,54.4652,225.663876,-238.577343,-125.434438,-0.861801,105.81252,76.90983868197773,-3.0423869690070192e-15,16.76605141838636,0.539050979222544,0.0006549515335911195,0.032326671168361534,4587.236240826218
4.0,181.01656642643152,8.357176,40.8489,225.663876,-240.862644,-116.729897,-2.385233,45.651227,88.80783213085178,-7.651456120157414e-13,16.606975384692696,0.5413288491042167,0.0005682305204391949,0.07233834903482697,5347.622313736279
5.0,144.8132531411452,7.449567,32.67912,225.663876,-242.953712,-110.396321,-10.408982,13.833921,99.29017469198644,-3.216518466122442e-11,16.464041512565984,0.5541308968526448,0.0005162298772301224,0.2337953052273858,6030.72912663664
6.0,120.67771095095435,6.779448,27.2326,225.663876,-244.911435,-105.477369,884.512649,0.988848,108.76693509686459,-4.969951981238029e-10,16.332434620702784,0.8037876764592,0.0006310282526269786,3.183650848782518,6659.566538781243
7.0,103.43803985711918,6.258512,23.342229,225.663876,-246.772009,-101.489845,-30.317724,2.290281,117.48170025708124,-4.108252099902215e-09,16.209293818246625,0.649498684665939,0.0004986535845770168,1.3772726529809425,7247.7987982939385
8.0,90.50828321321576,5.838499,20.42445,225.663876,-248.559088,-98.157752,-6.825846,14.901603,125.5931302079826,-2.2286447335709722e-08,16.09275296343218,0.5510015027625381,0.00040712724382832084,0.21204955482259277,7804.328475890352
9.0,80.45180877775937,5.490511,18.155067,225.663876,-250.289196,-95.309562,-3.237236,36.997468,133.21124731158733,-8.962833197501064e-08,15.981512841648987,0.540092258591296,0.00037681674667793284,0.08529633323529133,8335.333996943587
10.0,72.4066265705726,5.196051,16.33956,225.663876,-251.974481,-92.83187,-1.994562,67.323359,140.41572269659056,-2.88834272494349e-07,15.874623430616374,0.5366325409911443,0.0003548867725003598,0.046866099765574654,8845.294712678331
11.0,65.82420395898899,4.942654,14.854145,225.663876,-253.624249,-90.64606,-1.404808,104.972921,147.2657767062924,-7.858476696279979e-07,15.771362619194983,0.5350202576503649,0.0003368802118204448,0.030083872868553515,9337.543005133775
12.0,60.338855475477175,4.721575,13.6163,225.663876,-255.245885,-88.695541,-1.072446,149.265244,153.8057611993677,-1.8723420227957218e-06,15.671163513566535,0.5340951241891934,0.0003214681776327996,0.0211941065147334,9814.571908857819
