Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,487.75658015375245,20.589509,163.3956,334.994148,-348.014225,-231.964644,-0.246659,385.51503,36.44464166806,-9.8038258537381e-23,11.493783048667048,0.5403625181617078,0.0009328626815263763,0.007698722075914354,3170.813431378152
2.0,243.87829007687623,14.456751,81.6978,334.994148,-354.052539,-195.058237,-0.5147,209.89867,51.54050652279504,-3.638772837102717e-15,11.297758268582845,0.5373777406814995,0.0006573192945835087,0.011848830119808734,4562.011798935411
3.0,162.58552671791747,11.738967,54.4652,334.994148,-358.993147,-176.255014,-0.96253,127.0848,63.123971023632585,-7.2607532702634366e-12,11.14227397772582,0.5364332361186386,0.0005352669745305495,0.018232240730588715,5665.268252227668
4.0,121.93914503843811,10.118312,40.8489,334.994148,-363.39107,-164.023772,-1.794844,77.418334,72.88928227514081,-6.356669614876931e-10,11.007425141184674,0.5364311782103948,0.00046272926012700673,0.028757516546589538,6621.8285693738635
5.0,97.55131603075048,9.011944,32.67912,334.994148,-367.461132,-155.124107,-3.544017,45.130779,81.4926690515179,-1.3005435164049234e-08,10.88550502805287,0.5374421917661354,0.0004137816019491643,0.048041220959250744,7486.347104843034
6.0,81.29276335895874,8.194967,27.2326,334.994148,-371.313944,-148.212209,-8.006084,23.838081,89.27048028158812,-1.1809486188803252e-07,10.772555312385467,0.5404438760596597,0.00037904235715878714,0.08920246575557403,8286.84352903268
7.0,69.67951272987611,7.55978,23.342229,334.994148,-375.01592,-142.609115,-24.690683,10.336752,96.42157125627361,-6.458201719595867e-07,10.666213850334673,0.5495987933703206,0.00035644645660666714,0.20255679657824036,9039.906063129252
8.0,60.96957251921906,7.047576,20.42445,334.994148,-378.611246,-137.927002,-280.621273,2.790982,103.07263124192646,-2.5111090335587923e-06,10.564926536809738,0.594416292064659,0.00036267075816991774,0.7392012984198173,9756.114335751077
9.0,54.195176567681415,6.623144,18.155067,334.994148,-382.131728,-133.924849,707.755886,0.048465,109.30514892128545,-7.664275355128772e-06,10.467594567284923,3.883554347113216,0.002152011964936549,34.49003239481281,10442.241359147036
10.0,48.77565801537524,6.263942,16.33956,334.994148,-385.601813,-130.443305,-64.170984,1.336216,115.16652355419066,-1.955816623237643e-05,10.373395210151669,0.6590264567852611,0.0003696225077811927,1.509374732075619,11102.105069850782
11.0,44.34150592982896,5.954781,14.854145,334.994148,-389.041397,-127.371899,-20.894674,6.108776,120.67371481674869,-4.353379272649537e-05,10.28168218304028,0.5593792382518337,0.00029065811570323823,0.32960487714747144,11736.767648371877
12.0,40.64638167947937,5.685003,13.6163,334.994148,-392.467482,-124.631116,-11.014238,13.965616,125.813508517823,-8.706064913661344e-05,10.191927187486069,0.543606573253097,0.000268353758641803,0.1433308656890324,12344.427722393888
13.0,37.519736016403485,5.44688,12.568892,334.994148,-395.895179,-122.16195,-7.086605,24.603058,130.5418158080208,-0.0001598100919811036,10.103684541205288,0.5382474744666577,0.0002545532533817747,0.08088568296778305,12920.218884075355
