Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,560.5673209324452,19.227548,163.3956,291.482564,-301.993088,-201.517819,-0.193971,430.807809,39.07023326706248,-1.12733412954716e-24,13.245336264120057,0.5412081529509227,0.001000653548001776,0.008016634809925469,2949.7350983001315
2.0,280.2836604662226,13.507237,81.6978,291.482564,-306.826778,-169.455612,-0.426731,224.78476,55.253653771360085,-1.563352444108321e-16,13.036671786189407,0.5380343353292294,0.000705367446095731,0.012761637997156112,4238.32513984849
3.0,186.8557736441484,10.972349,54.4652,291.482564,-310.761198,-153.12043,-0.854579,128.401452,67.67162908131525,-5.593532027528861e-13,12.871619834597242,0.5371204368408988,0.0005746627252575515,0.020771761397419892,5257.42913098029
4.0,140.1418302331113,9.460828,40.8489,291.482564,-314.247153,-142.494616,-1.755221,71.925075,78.14046640107549,-6.936034636114819e-11,12.728834491620677,0.5374190269259227,0.0004971640308205526,0.03563698553172309,6138.854775157531
5.0,112.11346418648903,8.429015,32.67912,291.482564,-317.458948,-134.763088,-4.042819,36.771611,87.36369316686671,-1.799595266500025e-09,12.600054354114471,0.5394799306718046,0.0004453901376843442,0.06795968059354579,6933.596531537074
6.0,93.4278868220742,7.667134,27.2326,291.482564,-320.486093,-128.758421,-12.335091,15.356832,95.70207960466531,-1.9473170280269596e-08,12.48104079199468,0.5467020003876999,0.0004108151759450181,0.15983318137815927,7667.796396118541
7.0,80.081047317808,7.074815,23.342229,291.482564,-323.382042,-123.890768,-102.987173,3.844731,103.3697102620434,-1.2204091008090985e-07,12.369270647378743,0.5857168787299027,0.00040564298140954603,0.6287909711949489,8356.976996371988
8.0,70.07091511655565,6.597209,20.42445,291.482564,-326.182006,-119.823212,937.709363,0.019663,110.50527568398952,-5.296264020947859e-07,12.263092158431325,9.264503131332802,0.003807629961471135,70.51521845303293,9011.208124046683
9.0,62.285259024961775,6.201469,18.155067,291.482564,-328.910922,-116.346367,-35.729277,2.48004,117.2030577235488,-1.7704930333571424e-06,12.161347442271921,0.6127602966014778,0.000378200588724094,0.9563552531463716,9637.341444267915
10.0,56.05673209324451,5.866572,16.33956,291.482564,-331.587502,-113.321797,-11.952042,10.278427,123.52752977101615,-4.87958876244591e-06,12.063180837256045,0.551467221367441,0.0003208323046003535,0.23018560335879576,10240.046256250469
11.0,50.960663979887315,5.57835,14.854145,291.482564,-334.226517,-110.653533,-6.35963,22.741209,129.52011717307371,-1.1604972085258164e-05,11.967931317669807,0.5406700370845008,0.0002988089743442683,0.10358891553696298,10822.26441104708
12.0,46.7139434110371,5.326862,13.6163,291.482564,-336.84015,-108.272495,-4.119122,39.370091,135.2019079320947,-2.458822654742481e-05,11.875068931064186,0.5368261316399336,0.0002832846395879732,0.059606451198428556,11385.357737033242
13.0,43.12056209303826,5.104899,12.568892,291.482564,-339.438853,-106.127422,-2.975144,59.784529,140.57425860378498,-4.749454377802706e-05,11.784154832740965,0.534971557518571,0.00027067701569241214,0.03912572949397583,11929.09127544854
14.0,40.04052194353552,4.90709,11.671114,291.482564,-342.031896,-104.179303,-2.302254,83.686223,145.6184368697563,-8.508044697746871e-05,11.69481573730188,0.5339070269545831,0.0002599711283352233,0.02787539375279026,12451.537513779762
15.0,37.37115472882967,4.729339,10.89304,291.482564,-344.627725,-102.397803,-1.867827,110.836224,150.29524598765906,-0.00014319849744177788,11.60672723008574,0.5332241655282566,0.0002507451850023877,0.02100000455986521,12948.97717576058
16.0,35.03545755827783,4.56846,10.212225,291.482564,-347.234186,-100.75891,-1.568227,141.0396,154.54527307946773,-0.00022874576251390405,11.519603084242402,0.5327520388901164,0.00024278899865208233,0.01647277667228283,13415.850524474174
17.0,32.97454869375995,4.421934,9.611506,291.482564,-349.858644,-99.243306,-1.351205,174.134856,158.29039376845327,-0.0003495668644379827,11.433188999612081,0.5324081706870598,0.00023599258454980605,0.013322872747211683,13844.81563051428
18.0,31.14262779711242,4.28774,9.077533,291.482564,-352.508029,-97.835243,-1.187921,209.986413,161.43709112996243,-0.0005143248301439293,11.347259270511538,0.5321493911563668,0.0002303028473588316,0.01103661604516802,14226.967700429108
19.0,29.50354176244998,4.164231,8.599768,291.482564,-355.188815,-96.52172,-1.061312,248.479148,163.8819082591822,-0.0007323503321685294,11.261615881682536,0.5319513271350274,0.00022570262003824006,0.009320907603504744,14552.25519862941
20.0,28.028366046622256,4.050056,8.16978,291.482564,-357.906942,-95.291893,-0.960709,289.51434,165.51918310352266,-0.00101348212632835,11.176089454001147,0.5317989985273108,0.0002221985781277342,0.007998290982998892,14810.116166729966
21.0,26.693682439269335,3.94409,7.780743,291.482564,-360.667703,-94.136626,-0.879139,333.006607,166.2506835708657,-0.0013679066435164243,11.090541145570775,0.5316835775619366,0.00021981338216466901,0.006956060847127763,14990.313041420994
