Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,247.14498113437412,28.726413,163.3956,661.132584,-698.466233,-267.302355,-0.291571,629.001236,25.942272312222855,-5.43727535665409e-15,5.726833755183123,0.5366988740224787,0.0006613031096550707,0.0031006499499297083,4529.950304344624
2.0,123.57249056718706,20.107175,81.6978,661.132584,-716.735564,-224.773592,-0.521488,387.277146,36.68791290484193,-1.0355247768343336e-09,5.580858828431179,0.5343744781161508,0.0004645317880723439,0.0037460353088002545,6573.882986958689
3.0,82.3816603781247,16.286079,54.4652,661.132584,-732.221262,-203.105868,-0.810598,273.4795,44.93320692501615,-1.9988350447937564e-07,5.462829622120424,0.5333927635695956,0.00037701039042570755,0.004660606700049124,8225.262370085617
4.0,61.78624528359353,14.006593,40.8489,661.132584,-746.471374,-189.011308,-1.200716,202.784038,51.880867475661994,-4.348265878899438e-06,5.358544398783603,0.5328558170852538,0.0003246264534864895,0.00581869180343044,9681.89560721733
5.0,49.42899622687482,12.44979,32.67912,661.132584,-760.109106,-178.755858,-1.749553,153.342278,57.97234298512324,-3.4398369899076055e-05,5.262402421475529,0.532545846910093,0.0002888335779194542,0.00729258474310546,11016.326449786851
6.0,41.19083018906235,11.299661,27.2326,661.132584,-773.487967,-170.790996,-2.551623,116.528978,63.34944663517609,-0.0001548891763751358,5.171379737831138,0.5323896329955224,0.0002627270368310202,0.009210182106026777,12250.008672104335
7.0,35.30642652457741,10.405004,23.342229,661.132584,-786.859021,-164.334321,-3.775501,88.12393,67.9176192409609,-0.0004910762332164469,5.08350275366545,0.5323693179681732,0.00024341588777646112,0.011777039359891169,13360.397846148315
8.0,30.893122641796765,9.683179,20.42445,661.132584,-800.428031,-158.938931,-5.74833,65.769226,71.35201069082491,-0.001230444212805557,4.997326236816911,0.5325002987260241,0.00022982028711104186,0.015332133797020862,14278.037356286985
9.0,27.460553963560205,9.084701,18.155067,661.132584,-814.37173,-154.327086,-9.177152,48.022028,73.15875453477365,-0.0026097033675253024,4.911761855977,0.5328298588531233,0.0002217925258727479,0.02046477887434165,14894.605373782239
10.0,24.71449811343741,8.57789,16.33956,661.132584,-828.832406,-150.31516,-15.845586,33.938824,72.84718783462411,-0.004894634601504209,4.826066127535077,0.5334533864464475,0.00021967674360804732,0.028275009639740972,15094.527490826356
11.0,22.46772487014496,8.141397,14.854145,661.132584,-843.90047,-146.775853,-31.541881,22.870609,70.18263549629252,-0.008359274630870292,4.739895452363002,0.5345652749624841,0.00022407513383438667,0.04101688611652005,14806.789770289986
12.0,20.595415094531177,7.760241,13.6163,661.132584,-859.593893,-143.617537,-87.902731,14.352859,65.37684692320785,-0.013268233973770695,4.653360188541963,0.5366112764931708,0.00023578370643808556,0.06393113945443983,14049.384589696328
13.0,19.011151929550035,7.423558,12.568892,661.132584,-875.84291,-140.772216,2638.847382,8.042324,59.06189298706513,-0.01986362653189663,4.567029034921343,0.5408227418316591,0.0002560497494587527,0.11164208227989912,12932.235055974927
14.0,17.653212506010746,7.12325,11.671114,661.132584,-892.485887,-138.188141,182.928943,3.67868,52.05450491303481,-0.02835657560761016,4.481863588281032,0.5517938236596187,0.00028821532624785965,0.23885161414853173,11614.477747413936
15.0,16.47633207562494,6.853142,10.89304,661.132584,-909.278362,-135.82508,186.562566,1.060219,45.084134779455155,-0.03892270044072682,4.3990929149593025,0.6001986337369147,0.00035249443493506004,0.8098759054488903,10248.507056112554
16.0,15.446561320898383,6.608434,10.212225,661.132584,-925.913338,-133.651177,826.678617,0.027832,38.64134191542467,-0.05170064713247867,4.320058731025646,2.9789121775228744,0.0017583619963135412,26.212155830174332,8944.633469427541
17.0,14.537940244675646,6.385329,9.611506,661.132584,-942.048255,-131.640813,-164.328414,0.454122,32.96780881405594,-0.06679277300773494,4.2460669915470515,0.6862911922149606,0.0004963848505944601,1.8151751184694136,7764.316691113756
18.0,13.730276225502148,6.180778,9.077533,661.132584,-957.333279,-129.773094,-63.192385,2.235778,28.122266286564802,-0.08426734640848246,4.178273217638766,0.5646472305873118,0.00047403251822177717,0.3662110664795551,6730.595349257059
19.0,13.007629949154042,5.992307,8.599768,661.132584,-971.436418,-128.030778,-36.405779,5.288103,24.057768327212475,-0.10416149460354095,4.117613799403596,0.5475740895027781,0.0005271851498205724,0.15340293813156672,5842.648072215285
20.0,12.357249056718706,5.81788,8.16978,661.132584,-984.06268,-126.39948,-24.627682,9.540995,20.680064034767714,-0.12648473243745403,4.064781727115188,0.5426852286927963,0.0005962769808814147,0.08457498365966234,5087.619809156282
21.0,11.768808841525804,5.655804,7.780743,661.132584,-994.966351,-124.867081,-18.20608,14.935933,17.882798674774715,-0.151222617849454,4.02023645923278,0.5411057378097772,0.0006756384914065047,0.05403810590852925,4448.195735777059
22.0,11.233863191350437,5.504666,7.427073,661.132584,-1003.956827,-123.423289,-14.243233,21.423673,15.565292733919076,-0.17834019414435634,3.9842350710963395,0.5408361744048573,0.0007641119938125758,0.03793240054557296,3906.7204761178873
23.0,10.745434685760399,5.363267,7.104157,661.132584,-1010.899244,-122.059286,-11.588774,28.962458,13.63971049530636,-0.20778539721680342,3.956873074879854,0.5412257592326886,0.000861465777397732,0.028466347151296947,3447.0932570210166
24.0,10.297707547265588,5.230591,6.80815,661.132584,-1015.711389,-120.767472,-9.702921,37.516607,12.032665916928195,-0.23949223208072468,3.93812656165855,0.5420131439880294,0.0009677720023025176,0.02248289818617101,3055.428952964024
25.0,9.885799245374963,5.105765,6.535824,661.132584,-1018.358289,-119.541247,-8.302036,47.055381,10.684296062591223,-0.2733832624966462,3.9278906483177844,0.5430776896350076,0.001083244490483256,0.018505378817848837,2720.1103643674587
26.0,9.505575964775018,4.988039,6.284446,661.132584,-1018.845624,-118.374852,-7.224262,57.552076,9.546362368942107,-0.309372474511524,3.9260118567285516,0.5443599066207283,0.0012081865693370252,0.015768198183988,2431.567381178735
27.0,9.153517987853402,4.87676,6.051689,661.132584,-1017.212779,-117.263228,-6.371219,68.983278,8.580230406034808,-0.3473670880208693,3.932313949036616,0.5458282387729496,0.0013429687735366297,0.013842438782329426,2181.980003945741
28.0,8.826606253005373,4.771362,5.835557,661.132584,-1013.526115,-116.201913,-5.680045,81.328249,7.754996179041438,-0.3872698352843326,3.9466175965283345,0.5474666097852299,0.001488021101504582,0.012472853249982065,1964.9727872959281
29.0,8.522240676614421,4.671346,5.634331,661.132584,-1007.87277,-115.186952,-5.108901,94.568427,7.045922189912169,-0.4289800016961672,3.9687549054430753,0.5492680757778978,0.0016438271415886536,0.011500057433318686,1775.3482786878108
30.0,8.23816603781247,4.576276,5.44652,661.132584,-1000.355171,-114.214823,-4.628983,108.687006,6.4331401714477305,-0.4723953365971133,3.998579820406606,0.5512300832246964,0.0018109248855876696,0.010820585243152084,1608.8562590688912
31.0,7.972419039022889,4.485764,5.270826,661.132584,-991.086322,-113.282379,-4.219882,123.668591,5.900634551142718,-0.5174128165453848,4.035975384997796,0.5533540828983163,0.001989906036055771,0.010365114180813177,1462.0095486895395
32.0,7.723281416727147,4.399467,5.106113,661.132584,-980.18584,-112.386796,-3.866778,139.498909,5.435432446237177,-0.5639297886582121,4.080858788982302,0.5556438034702738,0.002181418668836733,0.010086000352588661,1331.9334795195605
33.0,7.489242127566957,4.317078,4.951382,661.132584,-967.776707,-111.525531,-3.558674,156.164574,5.026971122736622,-0.611844918797485,4.133184825660409,0.5581051664584002,0.0023861709424012174,0.009949837331866992,1216.2463898365354
34.0,7.268970122337823,4.238324,4.805753,661.132584,-953.982652,-110.696287,-3.28726,173.652884,4.666610050598479,-0.6610581306523733,4.192948364012808,0.5607454275561419,0.0026049326711172966,0.009932848008738145,1112.9662579799478
35.0,7.061285607426664,4.162958,4.668446,661.132584,-938.926089,-109.896984,-3.046147,191.951663,4.347238425294738,-0.7114717364706459,4.260186234957201,0.5635733418394295,0.0028385427087281576,0.010017953646039267,1020.4338931531266
36.0,6.86513886902903,4.090758,4.538767,661.132584,-922.726525,-109.125729,-2.830347,211.049125,4.062972945302372,-0.7629909360349288,4.334978882285843,0.5665985462972145,0.003087915576222294,0.010192853906052141,937.253226746968
37.0,6.679593635034029,4.021522,4.416097,661.132584,-905.499364,-108.3808,-2.63592,230.933763,3.808921628669666,-0.8155239103892372,4.417452025951948,0.5698325822459771,0.003354048058276802,0.010448740212367212,862.2440280715566
38.0,6.503814974577021,3.955068,4.299884,661.132584,-887.355044,-107.660622,-2.459709,251.594264,3.580999407522518,-0.8689811596904269,4.50777851216001,0.5732878671252162,0.0036380242302603105,0.010779412897974988,794.4044717065295
39.0,6.33705114736865,3.891229,4.189631,661.132584,-868.39844,-106.963753,-2.299159,273.019433,3.3757715993794513,-0.9232772158992579,4.606180545418759,0.5769783106898241,0.003941031519806111,0.011180688346201954,732.8786976743552
