Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,396.5670330452529,22.792409,163.3956,412.025172,-429.943706,-210.368576,-0.193224,598.545578,32.861729771950785,-4.325011054995101e-20,9.303543566701265,0.5389951456294728,0.0008401945011434403,0.0047192066774543176,3532.173470930764
2.0,198.28351652262646,15.990323,81.6978,412.025172,-438.370279,-176.898181,-0.378765,342.526636,46.47350392635224,-2.656940525593798e-13,9.124706193870411,0.5361287407706583,0.0005914837359484329,0.0063943893873235885,5093.150720575656
3.0,132.1890110150843,12.975672,54.4652,412.025172,-445.326018,-159.845551,-0.655688,221.240733,56.91818534640182,-2.389679959030963e-10,8.982183475298315,0.535003884655183,0.0004811309428485774,0.008906984521917419,6336.787208024768
4.0,99.14175826131323,11.177832,40.8489,412.025172,-451.567536,-148.753046,-1.105299,146.984196,65.72344188839317,-1.3010369786913333e-08,8.858032699675736,0.5345171833599616,0.00041529556624292374,0.012625780629116573,7419.643177745223
5.0,79.31340660905057,9.950391,32.67912,412.025172,-457.388652,-140.681945,-1.892426,96.806374,73.48073511642424,-1.9248647026483163e-07,8.745297861040942,0.5344566814206253,0.0003704175699959087,0.018423771057496405,8402.313595717587
6.0,66.09450550754215,9.04392,27.2326,412.025172,-462.941909,-134.413551,-3.41206,61.506094,80.49166941193899,-1.3758889704047458e-06,8.640392935347748,0.5348691002277306,0.00033749393788348416,0.02817414561663967,9315.741774039985
7.0,56.65243433233734,8.339078,23.342229,412.025172,-468.320499,-129.332108,-6.818069,36.511237,86.92913011972716,-6.247340035248172e-06,8.54115933114429,0.5360821254700165,0.0003124341159698555,0.04641633650433791,10177.67339882664
8.0,49.570879130656614,7.770641,20.42445,412.025172,-473.58837,-125.085903,-16.792529,19.227206,92.89029273813236,-2.0909478377847683e-05,8.446153354652692,0.5391920234050218,0.00029364011845609125,0.08656201479146106,10997.940581668734
9.0,44.06300448070682,7.299556,18.155067,412.025172,-478.793734,-121.456354,-74.479533,8.041241,98.41338322466633,-5.636643447045873e-05,8.354328212657855,0.5488108718159634,0.0002828157823657787,0.20378984305272108,11779.927807427739
10.0,39.65670330452529,6.900822,16.33956,412.025172,-483.97589,-118.298944,274.279978,1.881943,103.48043765408255,-0.00012949588236974818,8.264874516786362,0.6035451660771352,0.00030454614335024047,0.856857978940573,12520.50922780603
11.0,36.05154735546109,6.557591,14.854145,412.025172,-489.168872,-115.513487,-4879.471543,0.000532,108.01609465998621,-0.0002633326393265474,8.177135195961528,35.16055981447547,2.1041756339608997e-06,99.9999978872274,13209.527795667671
12.0,33.047252753771076,6.258042,13.6163,412.025172,-494.403357,-113.027873,-51.900059,1.852412,111.8888471234333,-0.00048670422468195985,8.090559951436575,0.6028859821745058,0.0002827087731954851,0.8521378093238645,13829.555407171305
13.0,30.505155641316012,5.993603,12.568892,412.025172,-499.707431,-110.788588,-20.232188,7.028571,114.91973622176745,-0.0008333795104562592,8.004683844695517,0.5499139376454631,0.00024025586227995792,0.22323313161807792,14356.561539644266
14.0,28.326215952650582,5.757885,11.671114,412.025172,-505.106565,-108.754906,-11.408906,15.213641,116.902117469339,-0.0013409206785488501,7.919120987865205,0.5397096437597226,0.0002280657412570268,0.10232500062383912,14762.006749041078
15.0,26.437802203016858,5.546019,10.89304,412.025172,-510.622965,-106.895162,-7.594522,26.159082,117.63359190322252,-0.0020494155585417083,7.833568550917015,0.536044358224641,0.0002223718803233602,0.05906044627805053,15016.603370305871
16.0,24.785439565328307,5.354215,10.212225,412.025172,-516.274533,-105.184288,-5.562553,39.665403,116.95658739023258,-0.0030002217502429003,7.7478158311558625,0.5343245640452632,0.00022024307025870086,0.03867625828350296,15095.426884041504
17.0,23.32747281760737,5.179478,9.611506,412.025172,-522.073608,-103.602118,-4.335973,55.569974,114.79878837838287,-0.004234809340534381,7.661754853541648,0.5333995097976718,0.00022103919299345297,0.027431436765610093,14983.354410682705
18.0,22.031501026835326,5.019402,9.077533,412.025172,-528.025723,-102.132213,-3.530847,73.738458,111.20119178448219,-0.005793761168323482,7.575388519471807,0.5328717847392528,0.00022462149374851578,0.0205588815427644,14679.272422615715
19.0,20.871948085734918,4.872031,8.599768,412.025172,-534.128545,-100.760999,-2.969553,94.058637,106.32329570100309,-0.007715937732131101,7.488833984710552,0.5325740013268465,0.0002309979546118406,0.0160463597800778,14197.576808095388
20.0,19.828351652262644,4.735756,8.16978,412.025172,-540.371189,-99.477158,-2.560054,116.435865,100.42225562565066,-0.010037831038169605,7.402319149180251,0.532426145430287,0.00024022182524740743,0.012923529834872735,13566.323418623695
21.0,18.884144777445783,4.609239,7.780743,412.025172,-546.73398,-98.271151,-2.250481,140.789661,93.81255631082682,-0.012793086978301602,7.316172300101048,0.5323858822438576,0.0002523554296778538,0.01067488152973634,12822.628071448116
22.0,18.025774891248634,4.491356,7.427073,412.025172,-553.188721,-97.134877,-2.009642,167.051117,86.81926619663543,-0.016012161453909695,7.2308054162225055,0.532429608799101,0.0002674557623823108,0.009005537086154064,12006.85970636882
23.0,17.24204607576743,4.381159,7.104157,412.025172,-559.699453,-96.061399,-1.817781,195.160883,79.73786942045822,-0.01972212172929004,7.146692709024321,0.5325432896087334,0.00028556915995833326,0.0077366817301537,11157.310474503973
24.0,16.523626376885538,4.277837,6.80815,412.025172,-566.223618,-95.044733,-1.661848,225.067589,72.80859839769093,-0.023946563208938,7.064346793107454,0.5327173327890566,0.0003067303208837417,0.00675461737223678,10306.487001562391
