Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,727.2208081189581,16.913408,163.3956,224.68499,-231.733984,-176.600502,-0.164502,401.226729,44.500538302024864,-1.091637940760848e-28,17.26117132651549,0.5431260735707544,0.001140923371878435,0.010700672408502646,2578.0717577182045
2.0,363.61040405947904,11.891552,81.6978,224.68499,-234.930913,-148.502729,-0.412589,187.991072,62.93326479962695,-2.3122015724604927e-19,17.026282105326853,0.5397839147713857,0.0008049258496918263,0.019338012810857463,3696.24233936178
3.0,242.4069360396527,9.666327,54.4652,224.68499,-237.511137,-134.187364,-0.994705,91.404487,77.07719330326672,-2.767968001710623e-15,16.841315529553462,0.5394918220280154,0.0006566625626606847,0.037380289411660404,4576.672954556917
4.0,181.80520202973952,8.339548,40.8489,224.68499,-239.780225,-124.875413,-2.773349,39.182653,89.00107660229506,-7.051054173385691e-13,16.68194280825285,0.5423602860661458,0.0005701314563925887,0.08446693727018346,5335.174543235136
5.0,145.4441616237916,7.433914,32.67912,224.68499,-241.85624,-118.099874,-12.34965,11.687961,99.50622858564776,-2.990147566127519e-11,16.53875045770992,0.557830475498855,0.000519719057080171,0.2777286493863461,6016.5505755763215
6.0,121.20346801982635,6.765253,27.2326,224.68499,-243.799673,-112.837673,738.791395,0.755995,109.00361038336672,-4.650089466640142e-10,16.406912900166194,0.888012788517234,0.0006848608851986238,4.161896536340797,6643.761141821053
7.0,103.88868878156926,6.245452,23.342229,224.68499,-245.646484,-108.571897,-32.418243,2.181263,117.73733965106669,-3.863174601792845e-09,16.28356300837589,0.6558462478862492,0.0005036632998622699,1.4521394782679116,7230.4408801995805
8.0,90.90260101486976,5.826353,20.42445,224.68499,-247.42017,-105.007287,-7.563242,13.490899,125.86642487341048,-2.1041846079989266e-08,16.16683069937265,0.5529532588444463,0.00040927822845773136,0.23518949177968404,7785.4730598678625
9.0,80.80231349677608,5.479125,18.155067,224.68499,-249.137144,-101.960347,-3.62171,33.093121,133.50113827525453,-8.490682841753681e-08,16.05541404135226,0.5409747747182947,0.00037822589342253126,0.09570625000161855,8315.0230776615
10.0,72.7220808118958,5.185307,16.33956,224.68499,-250.809469,-99.30976,-2.241667,59.893594,140.72135106743173,-2.74395087146171e-07,15.948361184082726,0.537142289404613,0.0003560120370867335,0.052834062222674893,8823.561834546284
11.0,66.11098053323455,4.932463,14.854145,224.68499,-252.446386,-96.971422,-1.583092,93.101457,147.58646944825978,-7.483839101490527e-07,15.844948558701097,0.5353568496418659,0.00033785694244981365,0.03399063567596509,9314.417708678147
12.0,60.60173400991317,4.711867,13.6163,224.68499,-254.055221,-94.884795,-1.210693,132.122398,154.14104775140916,-1.786876301649938e-06,15.744608531386962,0.5343366805092287,0.00032235154032242923,0.023971509044234042,9790.084487913951
13.0,55.940060793558125,4.51719,12.568892,224.68499,-255.641971,-93.004957,-0.97618,176.495613,160.41796263329616,-3.835212753553794e-06,15.646882960388377,0.5336745109568941,0.00030881564199872284,0.017970710562642534,10252.391037845046
14.0,51.944342165446834,4.343716,11.671114,224.68499,-257.21168,-91.297719,-0.817088,225.854569,166.44006555149733,-7.546698801740592e-06,15.551393311532353,0.5332056462309054,0.00029683720895090935,0.014070808241352926,10702.58221995269
