Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,336.3861237283838,24.707489,163.3956,485.738229,-508.855248,-268.003683,-0.30443,445.120713,30.265729914471255,-3.552540631294828e-18,7.860781657891047,0.5382084023123568,0.0007731522140613212,0.004999505761765876,3850.2188753823225
2.0,168.1930618641919,17.32125,81.6978,485.738229,-519.862812,-225.363336,-0.574043,262.687413,42.80220571675423,-5.92844126720527e-12,7.694337636137744,0.535589829253702,0.00054397416238914,0.00681852742876593,5562.818755928582
3.0,112.12870790946126,14.04744,54.4652,485.738229,-529.022796,-203.638762,-0.948845,176.293213,52.421779355812845,-2.9933269853692403e-09,7.5611108448339905,0.5345646759525757,0.0004422341776165569,0.009277618577948081,6933.079071526798
4.0,84.09653093209594,12.094873,40.8489,485.738229,-537.30404,-189.507222,-1.510939,122.934079,60.53132686252926,-1.1551296710644616e-07,7.444574583879921,0.5341077710448894,0.0003814894104863101,0.012615392851798612,8130.931617449374
5.0,67.27722474567675,10.76167,32.67912,485.738229,-545.084906,-179.224865,-2.403218,86.229379,67.67428525729538,-1.3512500607587994e-06,7.338306300486698,0.533999158061127,0.000340025770656856,0.017337925799370983,9222.05785452251
6.0,56.06435395473063,9.776992,27.2326,485.738229,-552.56469,-171.239105,-3.914051,59.653329,74.121575151484,-8.121224481939953e-06,7.238971422513442,0.5342151038434939,0.0003095272058122907,0.0243733837353656,10239.241298972865
7.0,48.0551614149357,9.011256,23.342229,485.738229,-559.868787,-164.765489,-6.705072,39.983699,80.0107288629064,-3.222642857726532e-05,7.144531170300802,0.5348614567713628,0.00028614984979916856,0.035550290659436226,11198.877428865322
8.0,42.04826546604797,8.393639,20.42445,485.738229,-567.087392,-159.355943,-12.585299,25.403532,85.3822333370437,-9.675818787068281e-05,7.053586548438022,0.5362497472181538,0.0002680598166215537,0.0548860439544733,12104.797006559893
9.0,37.376236656061096,7.881733,18.155067,485.738229,-574.292622,-154.731999,-28.148762,14.79064,90.18393141617426,-0.00023839186126257565,6.965090350751536,0.5392295618196097,0.0002547299389471822,0.09267238637216475,12947.991608815724
10.0,33.638612372838374,7.44839,16.33956,485.738229,-581.546653,-150.709546,-98.340416,7.404285,94.27002096991723,-0.0005075416046514045,6.878209992896306,0.5465890321451172,0.00024745783503403397,0.18222426943050762,13705.603793323793
