Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,685.6035436738428,17.412067,163.3956,238.323739,-246.039165,-191.156056,-0.187917,370.241778,43.20844557349421,-9.851306167482943e-28,16.257574276843282,0.5427320451097395,0.0011075894788497099,0.01080820672100672,2657.7424674626154
2.0,342.8017718369214,12.239952,81.6978,238.323739,-249.548733,-160.742442,-0.455508,178.451298,61.10596973909524,-1.0907676111607512e-18,16.02893331460032,0.5394823903763224,0.000781315405145993,0.019144518783305108,3812.229331781889
3.0,228.5345145579476,9.948114,54.4652,238.323739,-252.386349,-145.247193,-1.043858,90.711034,74.83922304934927,-9.796389429830884e-15,15.848717713334011,0.539099021139311,0.0006372697129532432,0.035475332712957296,4722.099566855478
4.0,171.4008859184607,8.581599,40.8489,238.323739,-254.885702,-135.167743,-2.657337,42.110545,86.41689114205543,-2.1026282424225366e-12,15.693308681551702,0.541284886524418,0.0005528471766862956,0.07404709280675695,5506.607490850095
5.0,137.12070873476856,7.648827,32.67912,238.323739,-257.17573,-127.833759,-9.383919,15.100742,96.61702127179123,-7.932870907267575e-11,15.553567204805836,0.5513364725537873,0.0005006890958997325,0.20247630907675937,6211.88824399961
6.0,114.2672572789738,6.96012,27.2326,238.323739,-259.322517,-122.137844,-141.430049,2.419471,105.83864025133963,-1.1316749882709512e-09,15.424807865797476,0.638295660327659,0.0005133986095720273,1.241613119144889,6861.585646458727
7.0,97.94336518025173,6.424725,23.342229,238.323739,-261.365374,-117.520479,-130.688627,0.342984,114.31876437939127,-8.791791185760072e-09,15.304246078135813,1.256921058810112,0.0008658004069106099,8.36811785149274,7469.74165180937
8.0,85.70044295923034,5.993047,20.42445,238.323739,-263.330016,-113.662071,-14.370263,6.691362,122.21172660824759,-4.536677993155415e-08,15.190064774081812,0.5703687379986611,0.00040881044247396893,0.4443379516544315,8045.503980784366
9.0,76.17817291797357,5.63539,18.155067,238.323739,-265.234441,-110.364,-5.883753,20.067378,129.62441152325383,-1.7504463835514302e-07,15.080997720050995,0.5452040196261332,0.0003698408817928028,0.14778262460929462,8595.214582581046
10.0,68.56035436738428,5.332743,16.33956,238.323739,-267.091915,-107.49495,-3.395416,39.514396,136.63390763626126,-5.446658632391483e-07,14.976117865641873,0.5388598468569317,0.0003465419528881713,0.07487421467761426,9123.453011125534
11.0,62.32759297217975,5.072296,14.854145,238.323739,-268.912643,-104.963883,-2.303779,64.343791,143.29692761799157,-1.4378838637431836e-06,14.874718999359208,0.5362318418328349,0.00032831421807547246,0.04590854234527066,9633.588884883453
12.0,57.1336286394869,4.845061,13.6163,238.323739,-270.704769,-102.705275,-1.716604,94.040024,149.65496339574563,-3.336935571626595e-06,14.776245039111224,0.5348396006934153,0.00031298625042529575,0.0313838518592156,10128.078073937195
13.0,52.73873283768849,4.644522,12.568892,238.323739,-272.475007,-100.670499,-1.358991,128.2048,155.73702865991837,-6.984739557313171e-06,14.680245516976903,0.5339834201656068,0.00029970297250673313,0.023013822476500915,10608.611993567614
14.0,48.971680492139306,4.46582,11.671114,238.323739,-274.229063,-98.822549,-1.122152,166.5224,161.56091232380183,-1.3440461315644274e-05,14.586346013952577,0.5334021685796331,0.00028800245113496384,0.017721721360485606,11076.174400995333
15.0,45.706902911589516,4.305253,10.89304,238.323739,-275.971915,-97.132652,-0.95555,208.73717,167.13362388435036,-2.4123410970179717e-05,14.494228515970546,0.5329793229618907,0.00027759363086591156,0.014146255206417904,11531.046561063476
16.0,42.85022147961517,4.159941,10.212225,238.323739,-277.708015,-95.578028,-0.83291,254.638355,172.45135010175596,-4.0842219722288113e-05,14.40361741089828,0.5326557862832426,0.00026827928473348355,0.011607312288280443,11972.780530207172
17.0,40.3296207097523,4.027607,9.611506,238.323739,-279.441427,-94.140355,-0.73938,304.049565,177.49922237937938,-6.580818989585387e-05,14.31426987380794,0.5323991867999589,0.00025992172166339916,0.009733265626794831,12400.158998271027
18.0,38.08908436100023,3.906421,9.077533,238.323739,-281.175924,-92.804692,-0.666004,356.821238,182.25116438604454,-0.00010163348782140439,14.22596907692566,0.5321898205376652,0.00025242451192156396,0.008306565128755966,12811.159886580494
19.0,36.08439526873989,3.794897,8.599768,238.323739,-282.915055,-91.558709,-0.607094,412.825135,186.66995733731807,-0.00015131548295959236,14.138519422375738,0.5320163460118543,0.0002457214800550273,0.007192696221799535,13202.935311733749
20.0,34.28017718369214,3.691812,8.16978,238.323739,-284.662189,-90.392118,-0.558883,471.95023,190.7077921300564,-0.00021820993805096828,14.051743275254585,0.5318706633656856,0.00023976934506256706,0.006304702458365365,13571.824391774708
21.0,32.647788393417244,3.596149,7.780743,238.323739,-286.420528,-89.296253,-0.518785,534.099583,194.3074120301138,-0.0003059954607506704,13.965479457533853,0.531747631956947,0.0002345425046131504,0.0055842594732597,13913.407886994688
22.0,31.16379858407643,3.507054,7.427073,238.323739,-288.19312,-88.263753,-0.484973,599.187922,197.40397726572235,-0.00041863112224896576,13.879581858165107,0.5316437921889183,0.00023002912929303695,0.004991013527212049,14222.6170271544
23.0,29.808851731719436,3.423806,7.104157,238.323739,-289.982841,-87.288313,-0.456124,667.139756,199.92778598858558,-0.0005603104812986602,13.79391962023022,0.5315567119951736,0.0002262280928691689,0.004496295398768176,14493.906843952509
24.0,28.56681431974345,3.345789,6.80815,238.323739,-291.792376,-86.364498,-0.431256,737.887865,201.80781402044747,-0.0007354140325238523,13.708377356644851,0.5314849428416313,0.0002231465062087368,0.00407926680904872,14721.495387098117
25.0,27.42414174695371,3.272475,6.535824,238.323739,-293.624181,-85.487587,-0.409625,811.372093,202.9759532671319,-0.0009484592392398754,13.622856218371195,0.5314270776799024,0.0002207977208192217,0.003724477570677138,14899.662010188971
26.0,26.369366418844244,3.203407,6.284446,238.323739,-295.480445,-84.653462,-0.390663,887.538369,203.37177714281418,-0.0012040554181889716,13.537274860947228,0.5313824006068057,0.0002191996281234113,0.0034202707933392172,15023.09580264989
27.0,25.392724305991187,3.138188,6.051689,238.323739,-297.363042,-83.858506,-0.373922,966.337899,202.94738893771273,-0.001506856457526275,13.451570757068055,0.5313505631591386,0.00021837327489669133,0.003157714823781856,15087.263235118853
28.0,24.485840246069653,3.076471,5.835557,238.323739,-299.273482,-83.099527,-0.359052,1047.726501,201.67194172977247,-0.0018615217052092132,13.36570140885386,0.5313311279810162,0.0002183416919340151,0.002929871275466606,15088.766055792525
29.0,23.641501361305853,3.017952,5.634331,238.323739,-301.212865,-82.373698,-0.345768,1131.66405,199.53531657775915,-0.0022726725695107293,13.279645276771296,0.531324304615044,0.00021912890773857974,0.0027312830595858585,15025.651093767206
30.0,22.853451455794758,2.962362,5.44652,238.323739,-303.181832,-81.678499,-0.333843,1218.114009,196.55045550916137,-0.002744862236276962,13.193402697032322,0.5313295437204157,0.00022075915845203638,0.0025576098101358267,14897.631795425508
31.0,22.116244156441333,2.909462,5.270826,238.323739,-305.180526,-81.01168,-0.323087,1307.043036,192.75405623769464,-0.003282541064063636,13.106996217707547,0.5313471639583178,0.00022325621990736163,0.002405363795191201,14706.19606781331
32.0,21.42511283779414,2.859042,5.106113,238.323739,-307.208561,-80.371221,-0.313347,1398.420644,188.20543386448975,-0.0038900312976642196,13.020470480964233,0.5313768697165155,0.000226642897503873,0.002271715866929369,14454.580127472642
33.0,20.77586572271762,2.81091,4.951382,238.323739,-309.264994,-79.755304,-0.304491,1492.218914,182.9836563854258,-0.004571506518589448,12.933891897251067,0.5314190127935992,0.00023094065850097844,0.0021543509854817116,14147.609848534194
34.0,20.16481035487615,2.764899,4.805753,238.323739,-311.348314,-79.162287,-0.29641,1588.412244,177.1833897358241,-0.005330962222165,12.847347553004575,0.5314738639359828,0.00023616926276894681,0.002051359040331651,13791.437415763436
35.0,19.588673875244968,2.720855,4.668446,238.323739,-313.456437,-78.590681,-0.289012,1686.977135,170.9097082564958,-0.006172207541682923,12.760943875591874,0.5315409445634578,0.00024234663503852852,0.001961151889525578,13393.187049697664
36.0,19.04454427848667,2.67864,4.538767,238.323739,-315.586715,-78.039133,-0.282217,1787.891998,164.27261678505855,-0.007098855082100288,12.674804768001719,0.5316208130606959,0.0002494887915761849,0.0018823994420803947,12960.563873912623
37.0,18.529824257246986,2.63813,4.416097,238.323739,-317.735953,-77.506412,-0.275956,1891.136992,157.38183813400468,-0.008114308396570957,12.589069515844182,0.5317130343046039,0.0002576097935558668,0.0018139799268285343,12501.46708109993
38.0,18.042197634369945,2.599212,4.299884,238.323739,-319.90044,-76.99139,-0.27017,1996.693877,150.3423619266982,-0.009221736026265814,12.503890272861144,0.5318182944415106,0.000266721599751015,0.0017549405986156288,12023.646932747502
39.0,17.579579011220535,2.561783,4.189631,238.323739,-322.075987,-76.493038,-0.264808,2104.545881,143.25062802514802,-0.01042409608743739,12.419429455943886,0.5319364523856507,0.00027683443499483464,0.0017044676023685278,11534.39685239235
40.0,17.14008859184607,2.52575,4.08489,238.323739,-324.257973,-76.010408,-0.259823,2214.677589,136.1920482952031,-0.011724131033542641,12.335857043058738,0.5320672177426489,0.0002879569055628835,0.0016618615645916696,11040.339379730165
41.0,16.722039595056874,2.491026,3.985259,238.323739,-326.4414,-75.542629,-0.255177,2327.074838,129.23977565366644,-0.013124327287719013,12.253347767777004,0.5322109942815234,0.00030009576963890415,0.0016265173327073695,10547.303325017196
42.0,16.323892098722066,2.457534,3.890371,238.323739,-328.620952,-75.088899,-0.250832,2441.72462,122.45382141421767,-0.014626992773774335,12.17207842548031,0.5323676120641885,0.0003132568835733102,0.0015979098580654965,10060.222842294548
43.0,15.944269823662008,2.4252,3.799898,238.323739,-330.791056,-74.648476,-0.246759,2558.615004,115.88193514381446,-0.01623413229849643,12.09222537141391,0.5325375099128782,0.0003274441393220272,0.001575579046430799,9583.176924386476
