Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,76.75388724446435,50.536746,163.3956,2128.825078,-2368.070696,-225.965123,-0.20956,2930.998855,14.45704288699163,-1.43804454059629e-06,1.689138760408021,0.5329083516385169,0.0003632147322601491,0.0008345489673664859,8558.82490287503
2.0,38.376943622232176,35.034921,81.6978,2128.825078,-2509.50834,-190.013262,-0.356593,1918.953326,20.33341690905313,-0.0008580324898519931,1.5939377192904647,0.5315614883391606,0.00025295666055877894,0.0006638333298643724,12756.719828491465
3.0,25.584629081488117,28.147201,54.4652,2128.825078,-2652.767863,-171.696364,-0.523326,1456.972419,22.737364577568975,-0.012876144925944008,1.5078590387763604,0.531140508980732,0.00021833430413791563,0.0006345925617863104,15079.237510172388
4.0,19.188471811116088,24.027209,40.8489,2128.825078,-2813.819789,-159.781471,-0.730632,1173.980773,18.594398590468497,-0.061098446764788504,1.4215551456554205,0.5314995450380944,0.0002473992170578651,0.0007271769128855047,13080.321679603492
5.0,15.350777448892869,21.204272,32.67912,2128.825078,-2986.688185,-151.111985,-0.997591,975.971683,11.813236110952086,-0.17098668371699427,1.3392760650707165,0.5327993540097609,0.00035327885610924567,0.0009705326600164856,8820.613179798986
6.0,12.792314540744059,19.110777,27.2326,2128.825078,-3141.553613,-144.378857,-1.336091,826.43168,7.114341866146221,-0.35753397403297127,1.2732553674868639,0.5351069180760448,0.0005414029395195198,0.0013797577898138577,5587.521598427206
7.0,10.964841236241769,17.475411,23.342229,2128.825078,-3245.613761,-138.92068,-1.747994,707.81877,4.497640058640663,-0.6245081631890124,1.2324325365096946,0.5384493170594307,0.0008139741558397374,0.001964159260593539,3649.4006165872456
8.0,9.594235905558044,16.150429,20.42445,2128.825078,-3280.901695,-134.359666,-2.227533,610.550412,3.0443701407255928,-0.9677253554084801,1.2191770348059758,0.5428953167357364,0.0011766006160496463,0.002739474237460152,2497.0697887284964
9.0,8.528209850410265,15.047953,18.155067,2128.825078,-3245.747373,-130.461024,-2.763751,528.917648,2.192350897154536,-1.3785195818995652,1.2323818031169982,0.5485782712423948,0.0016401827164564929,0.0037318699868345933,1778.9542912833817
10.0,7.675388724446434,14.112192,16.33956,2128.825078,-3148.563225,-127.069527,-3.341218,459.28892,1.6613962952357655,-1.8462924574586665,1.2704207329360522,0.5556968936742623,0.002220994721513001,0.0049788709940101735,1307.7528193326434
11.0,6.977625899613722,13.305827,14.854145,2128.825078,-3001.848298,-124.077559,-3.939991,399.223425,1.3118073759240776,-2.360113445543825,1.332512373348455,0.5645210197512296,0.0029410704761785905,0.006530956749130047,984.4616846803847
12.0,6.396157270372029,12.602772,13.6163,2128.825078,-2818.493722,-121.407663,-4.535813,346.998064,1.0706048174462346,-2.9096191396861313,1.4191977682184098,0.575404996390183,0.0038294642759790945,0.00845500960960272,754.3732391787922
13.0,5.904145028114893,11.984074,12.568892,2128.825078,-2609.999093,-119.00236,-5.101007,301.34161,0.8975266296930136,-3.48545749825848,1.5325675823903437,0.5888179425713624,0.004924622168653114,0.010840302081568224,585.6359223605281
14.0,5.482420383249544,11.435504,11.671114,2128.825078,-2385.84142,-116.817902,-5.60602,261.279615,0.7691809997509543,-4.079452051156889,1.6765573631461221,0.6053907551892501,0.006278289280974508,0.013808195141625713,458.78597217070916
15.0,5.1169258162976226,10.94607,10.89304,2128.825078,-2153.441064,-114.820279,-6.021363,226.040926,0.6713326895093077,-4.684613716808275,1.8574922095012116,0.6259923266777712,0.00796183778691269,0.01752782895454078,361.4188452987263
16.0,4.797117952779022,10.50708,10.212225,2128.825078,-1918.394943,-112.982561,-6.319542,194.999457,0.5949592578478525,-5.295068604242539,2.0850763887777823,0.6518558713413558,0.01007669228702245,0.022242083742682023,285.3417078865884
17.0,4.514934599055866,10.111525,9.611506,2128.825078,-1684.796927,-111.283091,-6.476602,167.636596,0.5341355244141833,-5.905946604012621,2.374173371221967,0.684794115236953,0.012772178236491294,0.028312271251941464,224.9774725336374
18.0,4.2641046903337925,9.753663,9.077533,2128.825078,-1455.555069,-109.704208,-6.472939,143.516005,0.48484737965883884,-6.513260645219955,2.748092521671538,0.72758745458259,0.016277741591260313,0.03629924646579985,176.43051528844762
19.0,4.0396780782380475,9.428727,8.599768,2128.825078,-1232.667535,-108.231334,-6.293209,122.266077,0.44430040933627923,-7.113782649785499,3.2449950099480795,0.7847231673402622,0.020965101877728196,0.04712064916904423,136.9186725940106
20.0,3.837694362223217,9.132716,8.16978,2128.825078,-1017.447203,-106.852309,-5.925332,103.567267,0.4105017653501438,-7.704933467248591,3.9314079278077294,0.8639717211215703,0.027478816005726957,0.06238259142265096,104.41596824551654
21.0,3.6549470787472567,8.862242,7.780743,2128.825078,-810.69796,-105.55689,-5.358702,87.142662,0.3819995762807028,-8.284682672264845,4.934020063403145,0.9799971896799042,0.03704279428362969,0.08516104714135247,77.42156930290753
22.0,3.4888131846782016,8.614415,7.427073,2128.825078,-612.850221,-104.336374,-4.58176,72.750745,0.3577159128046695,-8.8514573864716,6.526880244039268,1.1642479824400254,0.052299852616084636,0.12214718013359369,54.80656905438962
23.0,3.3371257570275583,8.386751,7.104157,2128.825078,-424.063841,-103.183309,-3.578978,60.179741,0.33683667093765624,-9.404067560765618,9.432542021426437,1.498528603775584,0.0802059010661616,0.1910571739421693,35.710063116868895
24.0,3.1980786351860147,8.177103,6.80815,2128.825078,-244.305621,-102.091269,-2.327147,49.24309,0.3187374665580567,-9.941642171593617,16.37293478400974,2.2829619115949273,0.146890546575335,0.35871852458348125,19.46733867585819
25.0,3.0701554897785734,7.983609,6.535824,2128.825078,-73.407292,-101.054675,-0.790506,39.775789,0.30293289309454224,-10.463568961263983,54.49049939071448,6.211306831113239,0.5099354970530741,1.2857270082302692,5.559370834948961
26.0,2.9520725140574466,7.80464,6.284446,2128.825078,88.891333,-100.068658,1.086188,31.631389,0.289040636073215,-10.969454583396065,44.99876270277103,5.522943206721298,0.44197213421351644,1.160286082670402,6.423301857928992
27.0,2.8427366168034216,7.638773,6.051689,2128.825078,242.910457,-99.128942,3.388508,24.679498,0.27675624800038384,-11.459079896282114,16.466973260027252,2.5548938382751296,0.17000586277057245,0.4702427790506708,16.806746669844646
28.0,2.741210191624772,7.484755,5.835557,2128.825078,389.006856,-98.231755,6.250741,18.803706,0.2658346148975638,-11.932372734093684,10.282595122179544,1.8647151115061433,0.1106700072639907,0.3281789620965498,25.852871939318014
29.0,2.646685750852471,7.341478,5.634331,2128.825078,527.55681,-97.373754,9.889551,13.899823,0.2560766336540975,-12.389373474744062,7.582121819259617,1.5591604219529542,0.08476415455138146,0.2761438709330075,33.773742991523584
30.0,2.5584629081488113,7.207964,5.44652,2128.825078,658.943795,-96.551961,14.670744,9.874388,0.24731901091606906,-12.83021898548234,6.070320458818495,1.388204861950726,0.0702863577415521,0.2607458175611801,40.74233190717024
31.0,2.475931937513562,7.083342,5.270826,2128.825078,783.549739,-95.763716,21.255014,6.643399,0.23942680319524945,-13.255119254738908,5.104972665940738,1.2806132544800453,0.061063916205988056,0.27234060670897975,46.90070228831052
