Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,224.81993997096427,30.083645,163.3956,726.784288,-770.066752,-280.117767,-0.317755,634.282027,24.74283903042716,-4.148980143677982e-14,5.194354891457514,0.5363036794681197,0.0006302670420006815,0.0028593560450786287,4763.409421854968
2.0,112.40996998548214,21.045763,81.6978,726.784288,-791.451694,-235.550026,-0.561539,394.419912,34.99165686392101,-4.327269620445043e-09,5.054003965528186,0.5340785474667986,0.00044248352619322606,0.003389288501252341,6923.551525204251
3.0,74.93997999032143,17.038754,54.4652,726.784288,-809.700827,-212.843475,-0.860883,281.786722,42.85548522327029,-6.397034702380449e-07,4.940096226430061,0.5331311259695215,0.0003589082482567787,0.004145867569750436,8675.030456692059
4.0,56.20498499274107,14.648148,40.8489,726.784288,-826.607482,-198.073172,-1.255215,211.809412,49.47654775614954,-1.1870157600394642e-05,4.839056126520761,0.5326048266808048,0.000308871532985416,0.005086483851591775,10224.421139690881
5.0,44.963987994192856,13.015294,32.67912,726.784288,-842.90849,-187.326041,-1.795747,162.753914,55.24577311693257,-8.424584311094494e-05,4.745473616003085,0.5322896420788426,0.0002747925821419121,0.006254049100978623,11641.782799219058
6.0,37.46998999516072,11.80885,27.2326,726.784288,-859.04027,-178.979315,-2.562635,126.059144,60.20594981555822,-0.00035014016695882494,4.656359125050098,0.5321167062150245,0.00025033827184499027,0.007728565568681609,12929.833846290894
7.0,32.11713487124807,10.870275,23.342229,726.784288,-875.328902,-172.213084,-3.692156,97.545575,64.08853352613532,-0.001043112624612102,4.569710871948336,0.5320670833978469,0.0002331326474308376,0.00963430485337904,14024.636420555555
8.0,28.102492496370534,10.112918,20.42445,726.784288,-892.047127,-166.55902,-5.43372,74.883247,66.35688595784795,-0.0024857018613895763,4.484068026150371,0.5321498522869006,0.0002225836137298704,0.012165126774899539,14798.367368841227
9.0,24.979993788748498,9.484892,18.155067,726.784288,-909.416916,-161.726068,-8.286002,56.649648,66.39783477558431,-0.0050573731331156994,4.398422692194567,0.5323943660859976,0.00021895841208076364,0.0156353720112271,15095.82853267236
10.0,22.481993997096428,8.952976,16.33956,726.784288,-927.583315,-157.521796,-13.373997,41.916685,63.86706777397677,-0.009157598572999392,4.31228110221021,0.5328529406950833,0.0002228921734320381,0.020583658946409643,14810.50661127876
11.0,20.438175735576717,8.494785,14.854145,726.784288,-946.578656,-153.812802,-23.744255,30.047449,58.987480502875655,-0.015173665871197338,4.225744976020249,0.5336170888225689,0.00023511131247477124,0.027999854632204463,13959.07250380956
12.0,18.73499499758036,8.094608,13.6163,726.784288,-966.295176,-150.503065,-50.776657,20.587172,52.5312616241305,-0.023457103067034548,4.139521855586704,0.5348596867955746,0.0002563051008958972,0.03987258311862317,12690.176174147804
13.0,17.293841112866765,7.741052,12.568892,726.784288,-986.478835,-147.521329,-190.476873,13.200649,45.47975525665903,-0.03430902335881729,4.054825971000179,0.5369634589208139,0.00028714192994050327,0.06069870960360919,11216.203995418531
14.0,16.058566747662,7.425627,11.671114,726.784288,-1006.74825,-144.813365,339.406758,7.634327,38.650798618212605,-0.047972888762949854,3.9731879345208694,0.5409395304982745,0.00032853964425625423,0.10250810405464345,9727.90596749699
15.0,14.987995998064283,7.14186,10.89304,726.784288,-1026.633802,-142.337011,160.25093,3.692283,32.53055429235175,-0.06463292793510145,3.8962286184300012,0.5503032824808796,0.0003829090943785283,0.2071750039483343,8349.241658581126
16.0,14.051246248185267,6.884716,10.212225,726.784288,-1045.626661,-140.058883,175.89917,1.220409,27.304416980289208,-0.08441634703811471,3.825457162860158,0.585081007684829,0.0004631932838120884,0.6128258070016261,7137.556589412876
17.0,13.224702513106616,6.650217,9.611506,726.784288,-1063.226768,-137.952134,475.14839,0.095663,22.966181969929757,-0.10739784430327544,3.762132519974328,1.1729928274264,0.0008965462332988157,7.413355761195225,6104.564857297072
18.0,12.489996206412213,6.435171,9.077533,726.784288,-1078.98175,-135.994871,-258.971854,0.218533,19.417670845570846,-0.13360549076567266,3.7071989401118235,0.8124825822553583,0.0007503824234871782,3.2686633842088884,5237.828117469502
19.0,11.832627840187982,6.236986,8.599768,726.784288,-1092.512996,-134.169022,-85.315076,1.507629,16.532088985804013,-0.16302692331643967,3.661283677764141,0.576373582917189,0.0006884336627122412,0.47577012793974527,4515.380517004836
20.0,11.240996998548214,6.053533,8.16978,726.784288,-1103.528849,-132.459514,-47.389301,3.895709,14.186061315311726,-0.1956157390269598,3.6247353239788294,0.5530244542272578,0.0007704592054418877,0.18356068629752645,3913.6819787823442
21.0,10.705711623749357,5.883043,7.780743,726.784288,-1111.82715,-130.853647,-31.521478,7.326684,12.272392898421264,-0.23129754001206385,3.597681528104436,0.5471436508255323,0.0008738233046907969,0.09784691006424996,3411.1949049829886
22.0,10.219088555750398,5.724038,7.427073,726.784288,-1117.290236,-129.340634,-23.049513,11.753342,10.70298339368816,-0.26997526042279896,3.580090357112903,0.5455391627242623,0.0009904459497291351,0.06160238581056482,2989.584710459482
23.0,9.774780656788222,5.57527,7.104157,726.784288,-1119.875377,-127.911236,-17.87711,17.135573,9.407461666779554,-0.3115341386265157,3.571826010422229,0.5455498469725817,0.0011190289671811763,0.04304049184539664,2633.7961701744507
24.0,9.36749749879018,5.435677,6.80815,726.784288,-1119.60304,-126.557488,-14.433748,23.438971,8.330404861384872,-0.35584612645922964,3.5726948365556424,0.5463592573551446,0.0012595231489948447,0.03235611824981223,2331.68665180932
25.0,8.992797598838571,5.30435,6.535824,726.784288,-1116.544697,-125.272474,-11.996983,30.633726,7.428423225222719,-0.4027731710134668,3.5824808543244546,0.547652706466284,0.001412269308466163,0.025716135679768277,2073.5416397985164
26.0,8.646920556433383,5.180506,6.284446,726.784288,-1110.811223,-124.050157,-10.191844,38.69373,6.667562043008236,-0.45217090486493394,3.6009718997950744,0.5492910768420067,0.001577792122929409,0.021371761148184457,1851.6006868555894
27.0,8.326664596249499,5.063468,6.051689,726.784288,-1102.542491,-122.885238,-8.80608,47.595859,6.021195551480838,-0.5038907956826785,3.62797808941769,0.5512083641596832,0.001756734174882485,0.018432982505699382,1659.6559855319504
28.0,8.029283373831,4.952644,5.835557,726.784288,-1091.898407,-121.77304,-7.711376,57.319383,5.468349985494618,-0.5577828911441856,3.6633444781644418,0.5533724626681114,0.0019498355573711059,0.016408392170775953,1492.7206595200116
