Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,224.34509442353712,30.114656,163.3956,728.322589,-771.748371,-288.446229,-0.33688,599.540083,24.716695358896104,-4.336833328299084e-14,5.183036531475879,0.5363029896008231,0.0006295953913285257,0.0029472373551558116,4768.767344932832
2.0,112.17254721176856,21.067195,81.6978,728.322589,-793.208888,-242.5534,-0.595189,372.893436,34.95468408002035,-4.464217590963992e-09,5.042807841053843,0.5340843000677054,0.0004420106449417712,0.003527304667705179,6931.591522376061
3.0,74.78169814117904,17.055931,54.4652,728.322589,-811.525394,-219.171738,-0.91221,266.472194,42.81019438198759,-6.561224862986643e-07,4.928989320080352,0.533142311032242,0.0003585243195243711,0.004334221298634698,8685.389965764767
4.0,56.08627360588428,14.662782,40.8489,728.322589,-828.497174,-203.962284,-1.329621,200.354583,49.42407821872488,-1.2132698114041309e-05,4.828018882294944,0.5326209711824847,0.0003085423705346572,0.005330793621303701,10236.92728294213
5.0,44.869018884707415,13.028187,32.67912,728.322589,-844.86391,-192.895619,-1.901483,154.002834,55.18589666219832,-8.590572640213457e-05,4.734490315724339,0.5323119784716002,0.0002745062571675876,0.006563922372659765,11656.143107720207
6.0,37.39084907058952,11.820453,27.2326,728.322589,-861.064188,-184.300729,-2.712336,119.327471,60.135625280020676,-0.00035641606136871786,4.6454144252484,0.5321462117253706,0.00025009731816833154,0.008118126365259661,12945.15833790332
7.0,32.04929979179871,10.880873,23.342229,728.322589,-877.426073,-177.333324,-3.905772,92.379386,64.0000236331184,-0.0010603693900610805,4.55878862400753,0.5321054918337342,0.00023295320088851702,0.01012374627842627,14038.822352078567
8.0,28.04313680294214,10.122702,20.42445,728.322589,-894.223989,-171.511154,-5.744288,70.95718,66.23748658596672,-0.0025240616344773693,4.473152195875613,0.5321999965224755,0.00022249468670573224,0.012783517351956517,14807.787369059286
9.0,24.927233171399,9.493999,18.155067,728.322589,-911.680803,-166.534508,-8.751936,53.716891,66.23376464193701,-0.005130768431535403,4.387500523031195,0.5324604001687994,0.00021899997695561425,0.01642556754947691,15096.012933618535
10.0,22.434509442353708,8.961507,16.33956,728.322589,-929.941046,-162.205234,-14.108484,39.781721,63.65147283291411,-0.009283380013399343,4.301347937275585,0.532941068596593,0.00022311244466738898,0.021611173501112586,14798.029306420183
11.0,20.395007959858845,8.502818,14.854145,728.322589,-949.034686,-158.385965,-24.998435,28.54999,58.72704969987443,-0.015371938827484914,4.214809067579222,0.5337363094019221,0.00023556419854429874,0.029369756742433514,13933.501792906682
12.0,18.69542453529476,8.102205,13.6163,728.322589,-968.849736,-154.977822,-53.244915,19.592106,52.24489815030399,-0.023749950154050663,4.128607204368377,0.5350259102512744,0.0002570490865089262,0.04176391529027976,12654.363945067227
13.0,17.257314533189632,7.748262,12.568892,728.322589,-989.126558,-151.907434,-196.60731,12.591441,45.19020812584643,-0.03471972575435057,4.04397189383727,0.5372046559049104,0.000288242194700864,0.06344051568986045,11174.708754705527
14.0,16.024649209390372,7.43249,11.671114,728.322589,-1009.47762,-149.118957,368.592413,7.308503,38.3764755323675,-0.0485252143949722,3.962445447775256,0.5413120022360385,0.0003300770439519667,0.10676213159839329,9685.048296100644
15.0,14.956339628235805,7.148408,10.89304,728.322589,-1029.427506,-146.568975,169.902385,3.558249,32.282216446373766,-0.06535052192133907,3.885654868056343,0.5509267852573774,0.0003850030551987632,0.21436552880738474,8308.050391135681
16.0,14.02156840147107,6.890978,10.212225,728.322589,-1048.462673,-144.223114,184.318029,1.195137,27.086036771025597,-0.0853222357352379,3.815109591412226,0.5860508172728096,0.0004659391698446924,0.6240451365891355,7099.674628481446
