Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,581.2448590993928,18.887745,163.3956,281.113196,-291.054525,-217.0342,-0.227698,354.975216,39.7842960844912,-3.3454023787111507e-25,13.743129401612979,0.5415645210174236,0.0010191650135176673,0.009614229827656598,2894.8498498327367
2.0,290.6224295496964,13.270177,81.6978,281.113196,-295.616984,-182.503281,-0.508748,182.905618,56.263491092154226,-6.63951297977299e-17,13.531022290654313,0.5384563837948164,0.0007185844612901306,0.0159170935170784,4158.110886493375
3.0,193.74828636646427,10.780844,54.4652,281.113196,-299.32591,-164.91033,-1.040122,102.642756,68.90842216128696,-2.784427154969799e-13,13.363360358613791,0.5377420753334583,0.0005856498051609204,0.026656513556004742,5156.5190425228475
4.0,145.3112147748482,9.296505,40.8489,281.113196,-302.608355,-153.466355,-2.202889,55.977178,79.56859209348904,-3.795557060558003e-11,13.218405684800079,0.5385026098486123,0.0005070474328491224,0.04723735623460159,6019.530190769181
5.0,116.24897181987856,8.283259,32.67912,281.113196,-305.629413,-145.139517,-5.350917,27.359347,88.96038787009897,-1.050502397151221e-09,13.087745582916131,0.5418065477078571,0.0004551257436538996,0.09453086049672699,6797.227781247668
6.0,96.87414318323214,7.535096,27.2326,281.113196,-308.473819,-138.672506,-18.45175,10.428907,97.4511896119232,-1.192258352288807e-08,12.9670647997521,0.5538537171426605,0.00042298303947421837,0.24401245850065,7515.2851564207685
7.0,83.03498139589291,6.953451,23.342229,281.113196,-311.192132,-133.430055,-358.117941,1.96159,105.25908265692193,-7.75418433961354e-08,12.853795416652757,0.6403688601132718,0.00044798983277605697,1.2757955152901064,8188.949586092941
8.0,72.6556073874241,6.484457,20.42445,281.113196,-313.817596,-129.049307,-339.23848,0.090922,112.52560296413058,-3.467174572248445e-07,12.746257861206738,2.750604019669234,0.0016457995142540138,24.008029346272178,8828.128552663482
9.0,64.58276330791671,6.095859,18.155067,281.113196,-316.373684,-125.304754,-27.207408,3.633599,119.34757043033727,-1.188086371172178e-06,12.643276613360799,0.5895304293490167,0.00036922323967699343,0.6797531176609795,9439.607633373818
10.0,58.12448590993928,5.767011,16.33956,281.113196,-318.877936,-122.0473,-10.769,11.788018,125.79236636726392,-3.343715050955165e-06,12.54398485569726,0.5497445849080851,0.00032556684334913294,0.20879852625365017,10028.102537937233
