Lj_nH,Ej/Ec,f_Q_GHz,EJ_GHz,EC_MHz,alpha_MHz,gbus1_in_MHz,chi_bus1_MHz,T1_us,T_phi_total_us,Charge_dispersion,Gate_Time_ns,Gate_Error_%,L1_Rate_%,L2_Rate_%,Num_Gates
1.0,879.463394900102,15.398979,163.3956,185.790109,-191.059491,-151.539888,-0.133231,419.249172,48.93741217012925,-5.70134552660263e-32,20.93588745088827,0.5446415460993781,0.0012554705488432723,0.01228377132426753,2337.4892650205247
2.0,439.731697450051,10.832643,81.6978,185.790109,-193.428161,-127.429348,-0.381937,175.514928,69.20795199843894,-1.1201452111950789e-21,20.679512121298615,0.5412234448631037,0.0008862289735867936,0.024835786396239342,3346.6917204085803
3.0,293.1544649667007,8.80934,54.4652,185.790109,-195.329802,-115.145415,-1.146413,70.260079,84.76208426960328,-3.597175350870199e-17,20.47818591450781,0.5420610313327745,0.0007239918838720284,0.05849840467816688,4139.140284372231
4.0,219.8658487250255,7.603005,40.8489,185.790109,-196.994433,-107.154882,-5.182742,19.825706,97.87482434020885,-1.6501459410293197e-14,20.305142328565193,0.5528735791749284,0.0006337695194769231,0.20160779047665983,4820.19888146851
5.0,175.8926789800204,6.779617,32.67912,185.790109,-198.510929,-101.340831,-1039.633363,1.072865,109.42738025140171,-1.045443698584722e-12,20.150024082553156,0.8417781427186299,0.0007496750094765705,3.6123052693472157,5430.632727935503
6.0,146.57723248335034,6.171708,27.2326,185.790109,-199.924796,-96.825366,-16.227667,4.215496,119.87168905037801,-2.1865608802085987e-11,20.007523228884526,0.6123974180040848,0.000556684112643981,0.9261584342395601,5991.330744893065
7.0,125.63763014962223,5.699155,23.342229,185.790109,-201.263053,-93.164928,-3.820873,24.128906,129.47622001614891,-2.286989336868357e-10,19.874487345672925,0.5476919235132272,0.00047707104027087434,0.16210510195466757,6514.694832837461
8.0,109.93292436251275,5.318169,20.42445,185.790109,-202.543311,-90.106156,-1.849134,57.751596,138.41589496976403,-1.499778385950652e-09,19.748862503783204,0.5394141707244393,0.0004409462946531164,0.06781481411251837,7008.803415551062
9.0,97.7181567830395,5.002532,18.155067,185.790109,-203.777832,-87.491595,-1.156939,103.082859,146.8121873721158,-7.0577689032070315e-09,19.62922051305365,0.5366141037548844,0.00041360267609871564,0.03810227743692154,7479.267313466882
10.0,87.9463394900102,4.73546,16.33956,185.790109,-204.975572,-85.217141,-0.825218,158.727355,154.75348980563757,-2.5977441958133594e-08,19.514520491251513,0.535240216268773,0.0003910845693993718,0.024848318760967023,7930.171272976682
11.0,79.95121527163752,4.505644,14.854145,185.790109,-206.143335,-83.210626,-0.636752,223.662911,162.3063810620107,-7.924082888425063e-08,19.40397442391237,0.5344168211296352,0.00037191811985257643,0.017725379696976313,8364.594670975934
12.0,73.28861624167517,4.30515,13.6163,185.790109,-207.286454,-81.420103,-0.517494,297.111488,169.5222852284428,-2.0859970729935012e-07,19.296967663887965,0.5338583136541231,0.0003552819561960703,0.013422709507792948,8784.918344745121
13.0,67.65102872080236,4.128222,12.568892,185.790109,-208.409222,-79.807025,-0.436205,378.46249,176.4415781994096,-4.879915690646496e-07,19.193008647189327,0.5334471349684011,0.00034063871507493464,0.010606271787482266,9193.01301024778
14.0,62.818812383602186,3.970573,11.671114,185.790109,-209.515179,-78.342054,-0.377703,467.224666,183.09611167264376,-1.036813718214112e-06,19.091695499541824,0.5331274017757681,0.00032760896080870854,0.008651409615396686,9590.353652824486
15.0,58.63089299334013,3.828934,10.89304,185.790109,-210.607304,-77.00238,-0.333822,562.994588,189.5108291714133,-2.034099246812561e-06,18.992693624718733,0.5328679800638891,0.0003159129129779533,0.007232612124549907,9978.091202648977
16.0,54.966462181256375,3.700763,10.212225,185.790109,-211.688161,-75.769944,-0.299821,665.435203,195.70472663366763,-3.7325648131354577e-06,18.895718972210258,0.5326515237444762,0.0003053385456526088,0.006166070785166951,10357.093420022205
17.0,51.73314150970223,3.584048,9.611506,185.790109,-212.759991,-74.630222,-0.272777,774.260797,201.69137869600706,-6.471577839498499e-06,18.800527210024182,0.5324668586657366,0.00029572226764098923,0.005341286402113329,10727.963979035014
18.0,48.85907570031083,3.477175,9.077533,185.790109,-213.824788,-73.571369,-0.250797,889.226139,207.4792125991482,-1.0688292529873699e-05,18.706905019823985,0.5323065492501056,0.0002869363507104862,0.004688408928975454,11091.049662104951
19.0,46.28754483372417,3.378832,8.599768,185.790109,-214.884357,-72.583609,-0.232612,1010.118491,213.0715502277181,-1.692638047687534e-05,18.614663514105867,0.5321653989739938,0.00027888044408161313,0.0041614271070632945,11446.435766419101
